Date,Open,High,Low,Close,Adj Close,Volume
10/20/03,1913.790039,1944.339966,1841.619995,1865.589966,1865.589966,8878720000
10/27/03,1876.030029,1957.530029,1873.619995,1932.209961,1932.209961,9555100000
11/3/03,1941.310059,1992.27002,1938.219971,1970.73999,1970.73999,10288720000
11/10/03,1972.099976,1977.790039,1923.5,1930.26001,1930.26001,8926740000
11/17/03,1919.01001,1926,1878.069946,1893.880005,1893.880005,8978510000
11/24/03,1907.290039,1963.060059,1907.290039,1960.26001,1960.26001,5855960000
12/1/03,1972.969971,2000.920044,1935.579956,1937.819946,1937.819946,9664520000
12/8/03,1937.47998,1956.969971,1887.459961,1949,1949,8608220000
12/15/03,1978.77002,1979.780029,1901.660034,1951.02002,1951.02002,8686920000
12/22/03,1946.189941,1979.73999,1941.619995,1973.140015,1973.140015,3778030000
12/29/03,1976.930054,2022.369995,1976.930054,2006.680054,2006.680054,6399970000
1/5/04,2020.780029,2113.330078,2020.780029,2086.919922,2086.919922,12097120000
1/12/04,2093.540039,2140.469971,2080.290039,2140.459961,2140.459961,11619660000
1/19/04,2149.030029,2152.120117,2108.449951,2123.870117,2123.870117,9603330000
1/26/04,2120.560059,2153.830078,2041.069946,2066.149902,2066.149902,10985800000
2/2/04,2072.129883,2085.48999,2012.790039,2064.01001,2064.01001,9839640000
2/9/04,2069.290039,2091.219971,2049.76001,2053.560059,2053.560059,9343520000
2/16/04,2068.419922,2094.919922,2022.790039,2037.930054,2037.930054,7379170000
2/23/04,2044.410034,2045.099976,1991.050049,2029.819946,2029.819946,9354510000
3/1/04,2036.920044,2069.02002,2020.290039,2047.630005,2047.630005,9229020000
3/8/04,2052.070068,2058.25,1943.890015,1984.72998,1984.72998,10208030000
3/15/04,1977.780029,1980.310059,1927.689941,1940.469971,1940.469971,8689140000
3/22/04,1929.02002,1976.76001,1896.910034,1960.02002,1960.02002,9205300000
3/29/04,1975.430054,2057.169922,1975.430054,2057.169922,2057.169922,9183180000
4/5/04,2055.98999,2079.120117,2038.73999,2052.879883,2052.879883,7016500000
4/12/04,2057.639893,2073.419922,1982.140015,1995.73999,1995.73999,9113230000
4/19/04,1995.369995,2051.75,1973.25,2049.77002,2049.77002,9723710000
4/26/04,2052.25,2059.080078,1919.390015,1920.150024,1920.150024,10282510000
5/3/04,1928.719971,1969.969971,1917.959961,1917.959961,1917.959961,8764540000
5/10/04,1904.72998,1937.869995,1878.77002,1904.25,1904.25,8513610000
5/17/04,1881.060059,1936.040039,1865.400024,1912.089966,1912.089966,7716470000
5/24/04,1924.869995,1991.869995,1913.72998,1986.73999,1986.73999,7658160000
5/31/04,1978.52002,1998.319946,1960.26001,1978.619995,1978.619995,5923420000
6/7/04,1991.670044,2023.540039,1988.890015,1999.869995,1999.869995,5815930000
6/14/04,1987.75,2006.579956,1963.47998,1986.72998,1986.72998,7430730000
6/21/04,1990.819946,2033.869995,1964.530029,2025.469971,2025.469971,8485240000
6/28/04,2038.97998,2055.649902,1996.609985,2006.660034,2006.660034,7886310000
7/5/04,1994.699951,1995.400024,1934.569946,1946.329956,1946.329956,6867760000
7/12/04,1936.170044,1945.170044,1882.930054,1883.150024,1883.150024,8234800000
7/19/04,1889.060059,1933.030029,1846.550049,1849.089966,1849.089966,9175090000
7/26/04,1852.420044,1896.310059,1829.060059,1887.359985,1887.359985,8494510000
8/2/04,1874.930054,1893.130005,1775.569946,1776.890015,1776.890015,7954760000
8/9/04,1782.349976,1808.699951,1750.819946,1757.219971,1757.219971,7506620000
8/16/04,1759.579956,1843.119995,1759.579956,1838.02002,1838.02002,7014440000
8/23/04,1843.790039,1866.25,1828.51001,1862.089966,1862.089966,6041290000
8/30/04,1855.780029,1876.23999,1819.619995,1844.47998,1844.47998,6186280000
9/6/04,1856,1895.780029,1847.47998,1894.310059,1894.310059,6033680000
9/13/04,1900.170044,1919.209961,1892.079956,1910.089966,1910.089966,7791710000
9/20/04,1903.02002,1925.849976,1879.47998,1879.47998,1879.47998,7442290000
9/27/04,1871.160034,1942.22998,1852.589966,1942.199951,1942.199951,7967970000
10/4/04,1954.589966,1971.040039,1917.719971,1919.969971,1919.969971,8891350000
10/11/04,1924.410034,1948.01001,1899.329956,1911.5,1911.5,7696900000
10/18/04,1909.780029,1957.47998,1904.5,1915.140015,1915.140015,8612760000
10/25/04,1911.079956,1984.180054,1905.48999,1974.98999,1974.98999,8954070000
11/1/04,1975.47998,2046.920044,1969.319946,2038.939941,2038.939941,9057760000
11/8/04,2038.219971,2085.340088,2032.369995,2085.340088,2085.340088,8924000000
11/15/04,2082.590088,2112.179932,2070.629883,2070.629883,2070.629883,9961850000
11/22/04,2066.340088,2110.379883,2052.800049,2101.969971,2101.969971,6261510000
11/29/04,2110.909912,2164.629883,2090.350098,2147.959961,2147.959961,10817270000
12/6/04,2145.429932,2161.300049,2097.860107,2128.070068,2128.070068,11291620000
12/13/04,2141.199951,2171.27002,2132.189941,2135.199951,2135.199951,11456540000
12/20/04,2142.209961,2168.780029,2124.219971,2160.620117,2160.620117,7197850000
12/27/04,2168.820068,2185.560059,2147.590088,2175.439941,2175.439941,7339730000
1/3/05,2184.75,2191.600098,2076.689941,2088.610107,2088.610107,11625100000
1/10/05,2087.620117,2111.429932,2066.790039,2087.909912,2087.909912,10762650000
1/17/05,2081.860107,2106.189941,2032.880005,2034.27002,2034.27002,8476670000
1/24/05,2040.130005,2055.129883,2008.680054,2035.829956,2035.829956,10447750000
1/31/05,2053.469971,2086.719971,2049.25,2086.659912,2086.659912,9598180000
2/7/05,2086.550049,2095.639893,2039.719971,2076.659912,2076.659912,9849960000
2/14/05,2076.75,2103.449951,2056.199951,2058.620117,2058.620117,9140920000
2/21/05,2046.180054,2065.399902,2023,2065.399902,2065.399902,7737750000
2/28/05,2058.280029,2084.149902,2038.77002,2070.610107,2070.610107,9800860000
3/7/05,2073.899902,2100.570068,2036.410034,2041.599976,2041.599976,9159290000
3/14/05,2043.640015,2059.070068,1999.97998,2007.790039,2007.790039,9368300000
3/21/05,2008.160034,2017.660034,1985.219971,1991.060059,1991.060059,6856030000
3/28/05,1998.76001,2014.72998,1968.579956,1984.810059,1984.810059,8595730000
4/4/05,1983.810059,2021.819946,1972.069946,1999.349976,1999.349976,8213830000
4/11/05,2004.160034,2007.23999,1906.709961,1908.150024,1908.150024,9264490000
4/18/05,1906.430054,1962.410034,1904.27002,1932.189941,1932.189941,9392360000
4/25/05,1942.02002,1958.579956,1889.829956,1921.650024,1921.650024,8777560000
5/2/05,1923.22998,1973.5,1916.030029,1967.349976,1967.349976,8524710000
5/9/05,1967.73999,1990,1943.890015,1976.780029,1976.780029,8415100000
5/16/05,1976.380005,2046.420044,1973.670044,2046.420044,2046.420044,8061980000
5/23/05,2045.689941,2076.800049,2041.949951,2075.72998,2075.72998,7642880000
5/30/05,2073.919922,2097.800049,2065.02002,2071.429932,2071.429932,6742970000
6/6/05,2072.360107,2095.959961,2052.959961,2063,2063,8042270000
6/13/05,2059.959961,2098.530029,2053.389893,2090.110107,2090.110107,8296950000
